year,month,day,mintempi,meantempi,maxtempi,minvisi,meanvisi,maxvisi,fog,precipi,rain,snow,snowdepthi,snowfalli,meanwindspdi,monthtodatesnowfalli,thunder,hail,humidity,precipsource
2013,01,01,26,33,40,10,10,10,0,0.00,0,0,0.00,0.00,7,0.00,0,0,,
2012,12,31,28,33,38,10,10,10,0,0.00,0,0,0.00,0.00,8,0.40,0,0,,
2012,12,30,28,31,34,10,10,10,0,0.00,0,0,0.00,0.00,11,0.40,0,0,,
2012,12,29,30,32,34,0,5,10,1,0.26,0,1,0.00,T,6,0.40,0,0,,
2012,12,28,30,34,37,10,10,10,0,0.00,0,0,0.00,0.00,7,0.40,0,0,,
2012,12,27,30,35,39,2,8,10,0,0.62,1,0,0.00,T,13,0.40,0,0,,
2012,12,26,28,34,39,0,5,10,1,0.99,1,1,0.00,0.40,14,0.40,0,0,,
2012,12,25,32,37,41,2,7,10,0,0.06,0,0,0.00,0.00,6,T,0,0,,
2012,12,24,33,37,40,2,8,10,0,0.07,0,1,0.00,T,4,T,0,0,,
2012,12,23,35,39,42,10,10,10,0,0.00,0,0,0.00,0.00,7,T,0,0,,
2012,12,22,36,37,38,8,10,10,0,T,0,1,0.00,T,12,T,0,0,,
2012,12,21,36,46,56,2,7,10,0,0.70,1,0,0.00,0.00,10,0.00,0,0,,
2012,12,20,35,41,47,5,10,10,0,0.02,1,0,0.00,0.00,5,0.00,0,0,,
2012,12,19,39,43,47,10,10,10,0,0.00,0,0,0.00,0.00,9,0.00,0,0,,
2012,12,18,43,49,54,1,6,10,0,0.51,1,0,0.00,0.00,7,0.00,0,0,,
2012,12,17,40,42,43,2,5,10,0,0.29,1,0,0.00,0.00,9,0.00,0,0,,
2012,12,16,42,45,47,1,5,10,0,0.40,1,0,0.00,0.00,9,0.00,0,0,,
2012,12,15,38,43,47,9,10,10,0,0.00,0,0,0.00,0.00,4,0.00,0,0,,
2012,12,14,37,43,48,9,10,10,0,0.00,0,0,0.00,0.00,5,0.00,0,0,,
2012,12,13,36,41,46,10,10,10,0,0.00,0,0,0.00,0.00,2,0.00,0,0,,
2012,12,12,36,40,43,2,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,12,11,41,50,58,6,10,10,0,0.06,1,0,0.00,0.00,6,0.00,0,0,,
2012,12,10,44,52,59,0,4,7,1,0.03,1,0,0.00,0.00,4,0.00,0,0,,
2012,12,09,42,46,50,2,6,10,0,0.18,1,0,0.00,0.00,7,0.00,0,0,,
2012,12,08,44,47,50,1,3,6,0,0.36,1,0,0.00,0.00,3,0.00,0,0,,
2012,12,07,35,41,46,2,6,10,0,0.14,1,0,0.00,0.00,3,0.00,0,0,,
2012,12,06,29,35,40,10,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,12,05,35,47,58,10,10,10,0,T,1,0,0.00,0.00,8,0.00,0,0,,
2012,12,04,47,55,62,2,5,10,0,0.07,1,0,0.00,0.00,3,0.00,0,0,,
2012,12,03,49,55,60,4,8,10,0,0.00,0,0,0.00,0.00,4,0.00,0,0,,
2012,12,02,41,47,52,0,3,9,1,0.04,1,0,0.00,0.00,3,0.00,0,0,,
2012,12,01,36,39,41,4,8,10,0,0.00,0,0,0.00,0.00,9,0.00,0,0,,
2012,11,30,38,42,46,8,10,10,0,0.00,0,0,0.00,0.00,6,4.70,0,0,,
2012,11,29,34,39,43,9,10,10,0,0.00,0,0,0.00,0.00,7,4.70,0,0,,
2012,11,28,34,38,41,9,10,10,0,0.00,0,0,0.00,0.00,6,4.70,0,0,,
2012,11,27,34,38,42,2,6,10,0,0.53,1,1,0.00,T,6,4.70,0,0,,
2012,11,26,36,42,48,10,10,10,0,0.00,0,0,0.00,0.00,5,4.70,0,0,,
2012,11,25,33,37,40,10,10,10,0,0.00,0,0,0.00,0.00,7,4.70,0,0,,
2012,11,24,35,43,50,10,10,10,0,0.00,0,0,0.00,0.00,10,4.70,0,0,,
2012,11,23,43,50,56,7,9,10,0,0.01,1,0,0.00,0.00,5,4.70,0,0,,
2012,11,22,41,48,54,8,10,10,0,0.00,0,0,0.00,0.00,3,4.70,0,0,,
2012,11,21,40,47,53,10,10,10,0,0.00,0,0,0.00,0.00,5,4.70,0,0,,
2012,11,20,40,46,51,10,10,10,0,0.00,0,0,0.00,0.00,4,4.70,0,0,,
2012,11,19,37,42,47,10,10,10,0,0.00,0,0,0.00,0.00,6,4.70,0,0,,
2012,11,18,38,44,49,9,10,10,0,0.00,0,0,0.00,0.00,6,4.70,0,0,,
2012,11,17,39,45,51,10,10,10,0,0.00,0,0,0.00,0.00,5,4.70,0,0,,
2012,11,16,38,42,46,10,10,10,0,0.00,0,0,0.00,0.00,5,4.70,0,0,,
2012,11,15,35,40,45,10,10,10,0,0.00,0,0,0.00,0.00,5,4.70,0,0,,
2012,11,14,37,42,47,10,10,10,0,0.00,0,0,0.00,0.00,6,4.70,0,0,,
2012,11,13,40,51,62,6,10,10,0,0.09,1,0,0.00,0.00,6,4.70,0,0,,
2012,11,12,48,57,66,0,6,10,1,0.00,0,0,0.00,0.00,4,4.70,0,0,,
2012,11,11,50,57,64,4,8,10,0,0.00,0,0,0.00,0.00,3,4.70,0,0,,
2012,11,10,42,49,55,5,7,10,0,0.00,0,0,0.00,0.00,2,4.70,0,0,,
2012,11,09,36,45,53,10,10,10,0,0.00,0,0,0.00,0.00,8,4.70,0,0,,
2012,11,08,32,40,48,1,7,10,0,0.06,0,1,4.00,0.40,7,4.70,0,0,,
2012,11,07,31,36,41,0,4,10,1,1.12,1,1,0.00,4.30,11,4.30,0,0,,
2012,11,06,31,37,42,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,11,05,35,40,45,10,10,10,0,0.00,0,0,0.00,0.00,5,0.00,0,0,,
2012,11,04,39,45,51,10,10,10,0,0.00,0,0,0.00,0.00,7,0.00,0,0,,
2012,11,03,40,46,51,10,10,10,0,0.00,0,0,0.00,0.00,8,0.00,0,0,,
2012,11,02,42,48,53,10,10,10,0,0.00,0,0,0.00,0.00,7,0.00,0,0,,
2012,11,01,43,47,51,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,10,31,44,47,50,9,10,10,0,0.01,1,0,0.00,0.00,5,0.00,0,0,,
2012,10,30,47,51,54,1,8,10,0,0.27,1,0,0.00,0.00,8,0.00,0,0,,
2012,10,29,52,57,62,2,5,10,0,0.67,1,0,0.00,0.00,19,0.00,0,0,,
2012,10,28,55,57,59,10,10,10,0,0.00,0,0,0.00,0.00,12,0.00,0,0,,
2012,10,27,59,62,65,7,9,10,0,0.00,0,0,0.00,0.00,7,0.00,0,0,,
2012,10,26,57,61,65,10,10,10,0,0.00,0,0,0.00,0.00,2,0.00,0,0,,
2012,10,25,55,59,62,10,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,10,24,56,58,59,4,7,10,0,T,1,0,0.00,0.00,5,0.00,0,0,,
2012,10,23,54,60,65,4,9,10,0,0.03,1,0,0.00,0.00,1,0.00,0,0,,
2012,10,22,49,58,66,10,10,10,0,0.00,0,0,0.00,0.00,4,0.00,0,0,,
2012,10,21,49,57,65,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,10,20,54,62,69,1,6,10,0,0.00,0,0,0.00,0.00,4,0.00,0,0,,
2012,10,19,61,64,66,0,4,10,1,0.89,1,0,0.00,0.00,5,0.00,0,0,,
2012,10,18,50,58,65,7,10,10,0,T,0,0,0.00,0.00,4,0.00,0,0,,
2012,10,17,44,53,61,10,10,10,0,0.00,0,0,0.00,0.00,2,0.00,0,0,,
2012,10,16,48,54,59,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,10,15,59,65,71,2,8,10,0,0.20,1,0,0.00,0.00,5,0.00,0,0,,
2012,10,14,53,62,70,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,10,13,38,46,53,10,10,10,0,0.00,0,0,0.00,0.00,4,0.00,0,0,,
2012,10,12,42,49,56,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,10,11,47,53,59,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,10,10,53,60,66,1,6,10,0,0.25,1,0,0.00,0.00,6,0.00,0,0,,
2012,10,09,50,54,58,3,8,10,0,0.03,1,0,0.00,0.00,7,0.00,0,0,,
2012,10,08,44,50,55,10,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,10,07,46,50,54,4,9,10,0,0.19,1,0,0.00,0.00,2,0.00,0,0,,
2012,10,06,54,66,77,8,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,10,05,61,70,78,6,9,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,10,04,66,70,74,2,4,8,0,T,1,0,0.00,0.00,1,0.00,0,0,,
2012,10,03,63,68,73,0,3,5,1,0.00,0,0,0.00,0.00,2,0.00,0,0,,
2012,10,02,62,66,69,0,5,10,1,0.38,1,0,0.00,0.00,3,0.00,0,0,,
2012,10,01,52,61,70,10,10,10,0,0.00,0,0,0.00,0.00,5,0.00,0,0,,
2012,09,30,55,62,68,10,10,10,0,T,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,29,57,61,65,4,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,28,60,65,69,0,6,10,1,1.96,1,0,0.00,0.00,4,0.00,0,0,,
2012,09,27,63,69,75,2,8,10,0,0.06,1,0,0.00,0.00,3,0.00,0,0,,
2012,09,26,63,70,77,9,10,10,0,0.01,0,0,0.00,0.00,4,0.00,0,0,,
2012,09,25,54,63,72,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,09,24,53,60,67,10,10,10,0,0.00,0,0,0.00,0.00,4,0.00,0,0,,
2012,09,23,55,62,68,8,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,09,22,60,68,76,2,9,10,0,0.22,1,0,0.00,0.00,3,0.00,0,0,,
2012,09,21,60,68,75,10,10,10,0,0.00,0,0,0.00,0.00,5,0.00,0,0,,
2012,09,20,54,62,69,10,10,10,0,0.00,0,0,0.00,0.00,6,0.00,0,0,,
2012,09,19,57,64,70,8,10,10,0,T,1,0,0.00,0.00,5,0.00,0,0,,
2012,09,18,67,71,75,0,6,10,1,1.54,1,0,0.00,0.00,6,0.00,0,0,,
2012,09,17,57,68,78,10,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,16,56,66,75,10,10,10,0,0.00,0,0,0.00,0.00,2,0.00,0,0,,
2012,09,15,60,67,73,10,10,10,0,0.01,0,0,0.00,0.00,4,0.00,0,0,,
2012,09,14,64,72,80,10,10,10,0,0.00,0,0,0.00,0.00,4,0.00,0,0,,
2012,09,13,63,72,81,10,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,12,59,70,80,10,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,11,54,64,73,10,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,10,58,65,72,10,10,10,0,0.00,0,0,0.00,0.00,5,0.00,0,0,,
2012,09,09,63,71,78,10,10,10,0,T,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,08,63,72,81,0,7,10,1,0.39,1,0,0.00,0.00,5,0.00,0,0,,
2012,09,07,71,79,87,7,9,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,06,69,75,80,10,10,10,0,0.00,0,0,0.00,0.00,2,0.00,0,0,,
2012,09,05,71,76,80,3,8,10,0,0.07,1,0,0.00,0.00,4,0.00,0,0,,
2012,09,04,70,75,80,2,7,10,0,0.13,1,0,0.00,0.00,4,0.00,0,0,,
2012,09,03,71,75,79,10,10,10,0,T,0,0,0.00,0.00,7,0.00,0,0,,
2012,09,02,71,77,82,9,10,10,0,0.00,0,0,0.00,0.00,3,0.00,0,0,,
2012,09,01,74,83,91,9,10,10,0,0.00,0,0,0.00,0.00,5,0.00,0,0,,
